id,lat,lng,location,elevation,slopeAngle,rainfall,soilType,vegetation,landslideRisk,avalancheRisk,temperature,humidity
1,30.0668,79.0193,Dehradun,640,8,2100,Alluvial,Agricultural,Low,Low,22,65
2,29.3919,79.9640,Nainital,2084,25,1400,Loamy,Dense Forest,Medium,Medium,15,70
3,30.3165,78.0322,Rishikesh,372,12,1800,Sandy,Mixed,Low,Low,25,60
4,29.8543,78.0736,Haridwar,314,5,1200,Alluvial,Agricultural,Low,Low,28,55
5,30.0869,79.6947,Almora,1638,30,1300,Rocky,Dense Forest,High,Medium,12,75
6,29.5993,79.8214,Pithoragarh,1645,35,1100,Rocky,Sparse Forest,High,High,10,70
7,30.4000,79.0600,Uttarkashi,1158,28,1500,Rocky,Mixed,Medium,Medium,14,72
8,30.1500,78.7800,Tehri,770,22,1600,Clay,Dense Forest,Medium,Low,18,80
9,29.8400,78.9500,Pauri,1814,20,1400,Loamy,Mixed,Medium,Medium,16,68
10,29.6857,79.2057,Bageshwar,1004,15,1250,Sandy,Sparse Forest,Low,Low,20,62
