id,lat,lng,location,elevation,slopeAngle,rainfall,soilType,vegetation,landslideRisk,avalancheRisk,temperature,humidity
1,34.0837,74.7973,Srinagar,1585,15,650,Alluvial,Mixed,Medium,High,12,75
2,32.2432,77.1892,Manali,2050,35,1200,Rocky,Dense Forest,High,High,8,80
3,30.0668,79.0193,Dehradun,640,8,2100,Alluvial,Agricultural,Low,Low,22,65
4,29.3919,79.9640,Nainital,2084,25,1400,Loamy,Dense Forest,Medium,Medium,15,70
5,31.1048,77.1734,Shimla,2206,30,1100,Rocky,Sparse Forest,High,High,10,75
6,30.3165,78.0322,Rishikesh,372,12,1800,Sandy,Mixed,Low,Low,25,60
7,28.3949,84.1240,Pokhara,822,20,2500,Clay,Dense Forest,Medium,Low,18,85
8,27.7172,85.3240,Kathmandu,1400,18,1500,Loamy,Mixed,Medium,Medium,20,70
9,32.7266,74.8570,Jammu,327,10,900,Alluvial,Agricultural,Low,Low,28,55
10,34.1526,77.5771,Leh,3524,40,100,Rocky,Barren,Medium,High,-5,30
